test,cluster genes,cluster gene ids,variable factors,gsea pval,bootstrapping pval,ora pval
cluster_0_UP - heart rate,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.083,
cluster_0_UP - mPAP,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.989073162,0.676,
cluster_0_UP - PAWP,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.353,
cluster_0_UP - CVP,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.343,
cluster_0_UP - HZV_Fick,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.864,
cluster_0_UP - HZV_Thermodil,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.649,
cluster_0_UP - PVR,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.985659239,0.854,
cluster_0_UP - Cardiac Index,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.763,
cluster_0_UP - Rrsys,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.605134597,0.001,
cluster_0_UP - PA_systolic,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.815,
cluster_0_UP - PA_diastolic,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.9892779,0.754,
cluster_0_UP - ven_SO2,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.959341593,0.451,
cluster_0_UP - AVDO2,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.627775145,0.449,
cluster_0_UP - TAPSE,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.999494799,0.418,
cluster_0_UP - RVEDD,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.800870933,0.811,
cluster_0_UP - S,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.942178288,0.751,
cluster_0_UP - sPAP excl. ZVD,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.983,
cluster_0_UP - ZVD,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.35,
cluster_0_UP - VCI_diameter,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.893172752,0.839,
cluster_0_UP - RA_area,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.969148493,0.332,
cluster_0_UP - AT,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.613,
cluster_0_UP - AT_ET,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.609,
cluster_0_UP - Paradoxe_Septumbewegung,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.419,
cluster_0_UP - Perikarderguss,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.962704429,0.168,
cluster_0_UP - SMW,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.131,
cluster_0_UP - FEV1,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.948915296,0.607,
cluster_0_UP - Tiffeneau Index FEV1/VC,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.079,
cluster_0_UP - DLCO,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.879155624,0.528,
cluster_0_UP - Kreatinin,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,1,0.733,
cluster_0_UP - eGFR,8,ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009,NA,0.78782843,0.658,
cluster_1_UP - condition/healthy,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,0.526,0.569591837
cluster_1_UP - condition/pah,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,0.766,0.770663265
cluster_1_UP - condition/ph-lung,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,3,-,0.765,0.770663265
cluster_1_UP - gender/F,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,2,-,0.815,0.813571429
cluster_1_UP - gender/M,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,2,-,0.643,0.621428571
cluster_1_UP - age,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.424,
cluster_1_UP - height,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.04,
cluster_1_UP - weight,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.607,
cluster_1_UP - BNP,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.942116416,0.543,
cluster_1_UP - NYHA,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.02,
cluster_1_UP - heart rate,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.966708837,0.781,
cluster_1_UP - mPAP,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.77,
cluster_1_UP - PAWP,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.662,
cluster_1_UP - CVP,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.580070126,0.76,
cluster_1_UP - HZV_Fick,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.842722204,0.063,
cluster_1_UP - HZV_Thermodil,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.408797512,0.073,
cluster_1_UP - PVR,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.978822469,0.533,
cluster_1_UP - Cardiac Index,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.98550835,0.931,
cluster_1_UP - Rrsys,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.61484513,0.061,
cluster_1_UP - PA_systolic,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.891,
cluster_1_UP - PA_diastolic,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.997510915,0.658,
cluster_1_UP - ven_SO2,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.938333947,0.322,
cluster_1_UP - AVDO2,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.319,
cluster_1_UP - TAPSE,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.952680008,0.93,
cluster_1_UP - RVEDD,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.389,
cluster_1_UP - S,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.75,
cluster_1_UP - sPAP excl. ZVD,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.261,
cluster_1_UP - ZVD,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.763,
cluster_1_UP - VCI_diameter,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.562,
cluster_1_UP - RA_area,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.883155106,0.219,
cluster_1_UP - AT,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.97,
cluster_1_UP - AT_ET,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.994662459,0.524,
cluster_1_UP - Paradoxe_Septumbewegung,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.428832903,0.006,
cluster_1_UP - Perikarderguss,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.783,
cluster_1_UP - SMW,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.708776722,0.355,
cluster_1_UP - FEV1,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.97202469,0.807,
cluster_1_UP - Tiffeneau Index FEV1/VC,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.625,
cluster_1_UP - DLCO,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.887945182,0.418,
cluster_1_UP - Kreatinin,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,1,0.92,
cluster_1_UP - eGFR,3,ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B,NA,0.824007106,0.555,
cluster_2_UP - condition/healthy,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,0.556,0.569591837
cluster_2_UP - condition/pah,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,1,1
cluster_2_UP - condition/ph-lung,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,3,-,0.313,0.319897959
cluster_2_UP - gender/F,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,2,-,0.798,0.813571429
cluster_2_UP - gender/M,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,2,-,0.626,0.621428571
cluster_2_UP - age,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.850034328,0.469,
cluster_2_UP - height,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.86,
cluster_2_UP - weight,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.913255456,0.677,
cluster_2_UP - BNP,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.954787064,0.2,
cluster_2_UP - NYHA,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.794,
cluster_2_UP - heart rate,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.981252914,0.932,
cluster_2_UP - mPAP,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.74809587,0.392,
cluster_2_UP - PAWP,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.974,
cluster_2_UP - CVP,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.66,
cluster_2_UP - HZV_Fick,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.744,
cluster_2_UP - HZV_Thermodil,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.801,
cluster_2_UP - PVR,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.387,
cluster_2_UP - Cardiac Index,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.899576836,0.494,
