test,cluster genes,cluster gene ids,variable factors,gsea preranked pval,gsea contrast pval,bootstrapping pval,ora pval
cluster_6_UP - condition/healthy,12,ENSG00000104889|RNASEH2A ENSG00000121101|TEX14 ENSG00000162510|MATN1 ENSG00000184270|H2AC21 ENSG00000198723|TEX45 ENSG00000217275|ENSG00000217275 ENSG00000240023|RPLP0P3 ENSG00000263503|MAPK8IP1P2 ENSG00000267062|ENSG00000267062 ENSG00000284491|THSD8 ENSG00000284797|ENSG00000284797 ENSG00000291174|ENSG00000291174,3,-,-,,0.5419862561120655
cluster_6_UP - condition/pah,12,ENSG00000104889|RNASEH2A ENSG00000121101|TEX14 ENSG00000162510|MATN1 ENSG00000184270|H2AC21 ENSG00000198723|TEX45 ENSG00000217275|ENSG00000217275 ENSG00000240023|RPLP0P3 ENSG00000263503|MAPK8IP1P2 ENSG00000267062|ENSG00000267062 ENSG00000284491|THSD8 ENSG00000284797|ENSG00000284797 ENSG00000291174|ENSG00000291174,3,-,-,,0.8336185230126025
cluster_6_UP - condition/ph-lung,12,ENSG00000104889|RNASEH2A ENSG00000121101|TEX14 ENSG00000162510|MATN1 ENSG00000184270|H2AC21 ENSG00000198723|TEX45 ENSG00000217275|ENSG00000217275 ENSG00000240023|RPLP0P3 ENSG00000263503|MAPK8IP1P2 ENSG00000267062|ENSG00000267062 ENSG00000284491|THSD8 ENSG00000284797|ENSG00000284797 ENSG00000291174|ENSG00000291174,3,-,-,,0.5427344510253853
cluster_7_UP - condition/healthy,3,ENSG00000135679|MDM2 ENSG00000136634|IL10 ENSG00000183762|KREMEN1,3,-,-,,1.0
cluster_7_UP - condition/pah,3,ENSG00000135679|MDM2 ENSG00000136634|IL10 ENSG00000183762|KREMEN1,3,-,-,,0.5427344510253853
cluster_7_UP - condition/ph-lung,3,ENSG00000135679|MDM2 ENSG00000136634|IL10 ENSG00000183762|KREMEN1,3,-,-,,0.2374857335079352
cluster_8_UP - condition/healthy,9,ENSG00000164776|PHKG1 ENSG00000174059|CD34 ENSG00000224411|HSP90AA2P ENSG00000225231|LINC02470 ENSG00000226419|SLC16A1-AS1 ENSG00000227836|ENSG00000227836 ENSG00000235683|ENSG00000235683 ENSG00000278972|ENSG00000278972 ENSG00000280381|ENSG00000280381,3,-,-,,0.5695918367346937
cluster_8_UP - condition/pah,9,ENSG00000164776|PHKG1 ENSG00000174059|CD34 ENSG00000224411|HSP90AA2P ENSG00000225231|LINC02470 ENSG00000226419|SLC16A1-AS1 ENSG00000227836|ENSG00000227836 ENSG00000235683|ENSG00000235683 ENSG00000278972|ENSG00000278972 ENSG00000280381|ENSG00000280381,3,-,-,,1.0
cluster_8_UP - condition/ph-lung,9,ENSG00000164776|PHKG1 ENSG00000174059|CD34 ENSG00000224411|HSP90AA2P ENSG00000225231|LINC02470 ENSG00000226419|SLC16A1-AS1 ENSG00000227836|ENSG00000227836 ENSG00000235683|ENSG00000235683 ENSG00000278972|ENSG00000278972 ENSG00000280381|ENSG00000280381,3,-,-,,0.3198979591836735
cluster_9_UP - condition/healthy,2,ENSG00000049247|UTS2 ENSG00000241566|IGKV2D-24,3,-,-,,1.0
cluster_9_UP - condition/pah,2,ENSG00000049247|UTS2 ENSG00000241566|IGKV2D-24,3,-,-,,0.7706632653061224
cluster_9_UP - condition/ph-lung,2,ENSG00000049247|UTS2 ENSG00000241566|IGKV2D-24,3,-,-,,0.3198979591836735
cluster_10_UP - condition/healthy,21,ENSG00000004939|SLC4A1 ENSG00000104892|KLC3 ENSG00000133742|CA1 ENSG00000136732|GYPC ENSG00000143416|SELENBP1 ENSG00000158578|ALAS2 ENSG00000163554|SPTA1 ENSG00000165949|IFI27 ENSG00000166947|EPB42 ENSG00000167992|VWCE ENSG00000169877|AHSP ENSG00000173868|PHOSPHO1 ENSG00000180537|RNF182 ENSG00000196565|HBG2 ENSG00000198010|DLGAP2 ENSG00000206177|HBM ENSG00000211638|IGLV8-61 ENSG00000238243|OR2W3 ENSG00000249790|LINC02972 ENSG00000260592|ENSG00000260592 ENSG00000281990|IGHV1-69-2,3,-,-,,0.8262706488700937
cluster_10_UP - condition/pah,21,ENSG00000004939|SLC4A1 ENSG00000104892|KLC3 ENSG00000133742|CA1 ENSG00000136732|GYPC ENSG00000143416|SELENBP1 ENSG00000158578|ALAS2 ENSG00000163554|SPTA1 ENSG00000165949|IFI27 ENSG00000166947|EPB42 ENSG00000167992|VWCE ENSG00000169877|AHSP ENSG00000173868|PHOSPHO1 ENSG00000180537|RNF182 ENSG00000196565|HBG2 ENSG00000198010|DLGAP2 ENSG00000206177|HBM ENSG00000211638|IGLV8-61 ENSG00000238243|OR2W3 ENSG00000249790|LINC02972 ENSG00000260592|ENSG00000260592 ENSG00000281990|IGHV1-69-2,3,-,-,,0.7505087881591119
cluster_10_UP - condition/ph-lung,21,ENSG00000004939|SLC4A1 ENSG00000104892|KLC3 ENSG00000133742|CA1 ENSG00000136732|GYPC ENSG00000143416|SELENBP1 ENSG00000158578|ALAS2 ENSG00000163554|SPTA1 ENSG00000165949|IFI27 ENSG00000166947|EPB42 ENSG00000167992|VWCE ENSG00000169877|AHSP ENSG00000173868|PHOSPHO1 ENSG00000180537|RNF182 ENSG00000196565|HBG2 ENSG00000198010|DLGAP2 ENSG00000206177|HBM ENSG00000211638|IGLV8-61 ENSG00000238243|OR2W3 ENSG00000249790|LINC02972 ENSG00000260592|ENSG00000260592 ENSG00000281990|IGHV1-69-2,3,-,-,,0.4119135720893353
cluster_11_UP - condition/healthy,3,ENSG00000184292|TACSTD2 ENSG00000234199|LINC01191 ENSG00000283445|ENSG00000283445,3,-,-,,0.0035912727923811975
cluster_11_UP - condition/pah,3,ENSG00000184292|TACSTD2 ENSG00000234199|LINC01191 ENSG00000283445|ENSG00000283445,3,-,-,,0.9231125078167544
cluster_11_UP - condition/ph-lung,3,ENSG00000184292|TACSTD2 ENSG00000234199|LINC01191 ENSG00000283445|ENSG00000283445,3,-,-,,0.9855856710118667
cluster_12_UP - condition/healthy,3,ENSG00000124575|H1-3 ENSG00000139438|FAM222A ENSG00000168298|H1-4,3,-,-,,0.4472247918593895
cluster_12_UP - condition/pah,3,ENSG00000124575|H1-3 ENSG00000139438|FAM222A ENSG00000168298|H1-4,3,-,-,,0.4119135720893353
cluster_12_UP - condition/ph-lung,3,ENSG00000124575|H1-3 ENSG00000139438|FAM222A ENSG00000168298|H1-4,3,-,-,,0.9536659178009779
cluster_13_UP - condition/healthy,7,ENSG00000087116|ADAMTS2 ENSG00000122025|FLT3 ENSG00000155659|VSIG4 ENSG00000169902|TPST1 ENSG00000205517|RGL3 ENSG00000211942|IGHV3-13 ENSG00000276107|THBS1-IT1,3,-,-,,1.0
cluster_13_UP - condition/pah,7,ENSG00000087116|ADAMTS2 ENSG00000122025|FLT3 ENSG00000155659|VSIG4 ENSG00000169902|TPST1 ENSG00000205517|RGL3 ENSG00000211942|IGHV3-13 ENSG00000276107|THBS1-IT1,3,-,-,,0.27486312748966374
cluster_13_UP - condition/ph-lung,7,ENSG00000087116|ADAMTS2 ENSG00000122025|FLT3 ENSG00000155659|VSIG4 ENSG00000169902|TPST1 ENSG00000205517|RGL3 ENSG00000211942|IGHV3-13 ENSG00000276107|THBS1-IT1,3,-,-,,0.637643716135853
cluster_14_UP - condition/healthy,2,ENSG00000082293|COL19A1 ENSG00000172264|MACROD2,3,-,-,,0.2399174989144595
cluster_14_UP - condition/pah,2,ENSG00000082293|COL19A1 ENSG00000172264|MACROD2,3,-,-,,0.4925314806773774
cluster_14_UP - condition/ph-lung,2,ENSG00000082293|COL19A1 ENSG00000172264|MACROD2,3,-,-,,1.0
cluster_15_DOWN - condition/healthy,7,ENSG00000067646|ZFY ENSG00000114374|USP9Y ENSG00000183878|UTY ENSG00000198692|EIF1AY ENSG00000231535|LINC00278 ENSG00000290853|ENSG00000290853 ENSG00000291033|TXLNGY,3,-,-,,0.02330901344740356
cluster_15_DOWN - condition/pah,7,ENSG00000067646|ZFY ENSG00000114374|USP9Y ENSG00000183878|UTY ENSG00000198692|EIF1AY ENSG00000231535|LINC00278 ENSG00000290853|ENSG00000290853 ENSG00000291033|TXLNGY,3,-,-,,0.32817342869267185
cluster_15_DOWN - condition/ph-lung,7,ENSG00000067646|ZFY ENSG00000114374|USP9Y ENSG00000183878|UTY ENSG00000198692|EIF1AY ENSG00000231535|LINC00278 ENSG00000290853|ENSG00000290853 ENSG00000291033|TXLNGY,3,-,-,,0.9991667908842454
cluster_16_UP - condition/healthy,2,ENSG00000114948|ADAM23 ENSG00000233913|RPL10P9,3,-,-,,0.7007090852174616
cluster_16_UP - condition/pah,2,ENSG00000114948|ADAM23 ENSG00000233913|RPL10P9,3,-,-,,0.46789273888987765
cluster_16_UP - condition/ph-lung,2,ENSG00000114948|ADAM23 ENSG00000233913|RPL10P9,3,-,-,,0.7526563265274192
cluster_17_DOWN - condition/healthy,4,ENSG00000089159|PXN ENSG00000100242|SUN2 ENSG00000150867|PIP4K2A ENSG00000163219|ARHGAP25,3,-,-,,0.6959900142579569
cluster_17_DOWN - condition/pah,4,ENSG00000089159|PXN ENSG00000100242|SUN2 ENSG00000150867|PIP4K2A ENSG00000163219|ARHGAP25,3,-,-,,0.692022538186596
cluster_17_DOWN - condition/ph-lung,4,ENSG00000089159|PXN ENSG00000100242|SUN2 ENSG00000150867|PIP4K2A ENSG00000163219|ARHGAP25,3,-,-,,0.4661851598800223
cluster_18_DOWN - condition/healthy,2,ENSG00000136193|SCRN1 ENSG00000204882|GPR20,3,-,-,,0.7298677925113081
cluster_18_DOWN - condition/pah,2,ENSG00000136193|SCRN1 ENSG00000204882|GPR20,3,-,-,,0.9698078244167478
cluster_18_DOWN - condition/ph-lung,2,ENSG00000136193|SCRN1 ENSG00000204882|GPR20,3,-,-,,0.07956141439560241
cluster_19_UP - condition/healthy,2,ENSG00000101197|BIRC7 ENSG00000211706|TRBV6-1,3,-,-,,0.3450310559006211
cluster_19_UP - condition/pah,2,ENSG00000101197|BIRC7 ENSG00000211706|TRBV6-1,3,-,-,,0.637643716135853
cluster_19_UP - condition/ph-lung,2,ENSG00000101197|BIRC7 ENSG00000211706|TRBV6-1,3,-,-,,0.9198063961940003
cluster_20_UP - condition/healthy,4,ENSG00000072682|P4HA2 ENSG00000108823|SGCA ENSG00000138592|USP8 ENSG00000253475|ENSG00000253475,3,-,-,,0.679483282674772
cluster_20_UP - condition/pah,4,ENSG00000072682|P4HA2 ENSG00000108823|SGCA ENSG00000138592|USP8 ENSG00000253475|ENSG00000253475,3,-,-,,0.8633738601823708
cluster_20_UP - condition/ph-lung,4,ENSG00000072682|P4HA2 ENSG00000108823|SGCA ENSG00000138592|USP8 ENSG00000253475|ENSG00000253475,3,-,-,,0.4925314806773774
cluster_21_UP - condition/healthy,3,ENSG00000129204|USP6 ENSG00000247121|ENSG00000247121 ENSG00000282651|IGHV5-10-1,3,-,-,,0.8736513809964319
cluster_21_UP - condition/pah,3,ENSG00000129204|USP6 ENSG00000247121|ENSG00000247121 ENSG00000282651|IGHV5-10-1,3,-,-,,0.9736738169323739
cluster_21_UP - condition/ph-lung,3,ENSG00000129204|USP6 ENSG00000247121|ENSG00000247121 ENSG00000282651|IGHV5-10-1,3,-,-,,0.06305789492653509
cluster_22_UP - condition/healthy,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,-,,0.7635506558716956
cluster_22_UP - condition/pah,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,-,,0.10886622689657943
cluster_22_UP - condition/ph-lung,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,-,,0.9583934952960877
cluster_23_UP - condition/healthy,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,-,,0.3759990483201644
cluster_23_UP - condition/pah,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,-,,0.3783595127607992
cluster_23_UP - condition/ph-lung,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,-,,0.9294764156725754
cluster_24_UP - condition/healthy,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,-,,0.3153340462936471
cluster_24_UP - condition/pah,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,-,,0.5216940104402239
cluster_24_UP - condition/ph-lung,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,-,,0.8948725842801464
cluster_25_UP - condition/healthy,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,-,,0.12584385689391822
cluster_25_UP - condition/pah,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,-,,0.932129175878811
cluster_25_UP - condition/ph-lung,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,-,,0.7526563265274192
cluster_26_DOWN - condition/healthy,2,ENSG00000128928|IVD ENSG00000143374|TARS2,3,-,-,,0.7494987302315237
cluster_26_DOWN - condition/pah,2,ENSG00000128928|IVD ENSG00000143374|TARS2,3,-,-,,0.32817342869267185
cluster_26_DOWN - condition/ph-lung,2,ENSG00000128928|IVD ENSG00000143374|TARS2,3,-,-,,0.765150832114439
cluster_27_UP - condition/healthy,5,ENSG00000063177|RPL18 ENSG00000100055|CYTH4 ENSG00000132475|H3-3B ENSG00000132507|EIF5A ENSG00000163466|ARPC2,3,-,-,,0.7621967844354043
cluster_27_UP - condition/pah,5,ENSG00000063177|RPL18 ENSG00000100055|CYTH4 ENSG00000132475|H3-3B ENSG00000132507|EIF5A ENSG00000163466|ARPC2,3,-,-,,0.22069156531343195
cluster_27_UP - condition/ph-lung,5,ENSG00000063177|RPL18 ENSG00000100055|CYTH4 ENSG00000132475|H3-3B ENSG00000132507|EIF5A ENSG00000163466|ARPC2,3,-,-,,0.8490733956725195
cluster_28_DOWN - condition/healthy,4,ENSG00000070061|ELP1 ENSG00000112144|CILK1 ENSG00000138468|SENP7 ENSG00000168944|CEP120,3,-,-,,0.6959900142579569
cluster_28_DOWN - condition/pah,4,ENSG00000070061|ELP1 ENSG00000112144|CILK1 ENSG00000138468|SENP7 ENSG00000168944|CEP120,3,-,-,,0.8626552240182295
cluster_28_DOWN - condition/ph-lung,4,ENSG00000070061|ELP1 ENSG00000112144|CILK1 ENSG00000138468|SENP7 ENSG00000168944|CEP120,3,-,-,,0.2515002446996993
cluster_29_UP - condition/healthy,8,ENSG00000081386|ZNF510 ENSG00000083817|ZNF416 ENSG00000090861|AARS1 ENSG00000121417|ZNF211 ENSG00000137601|NEK1 ENSG00000139697|SBNO1 ENSG00000203326|ZNF525 ENSG00000237440|ZNF737,3,-,-,,0.6291783366583332
cluster_29_UP - condition/pah,8,ENSG00000081386|ZNF510 ENSG00000083817|ZNF416 ENSG00000090861|AARS1 ENSG00000121417|ZNF211 ENSG00000137601|NEK1 ENSG00000139697|SBNO1 ENSG00000203326|ZNF525 ENSG00000237440|ZNF737,3,-,-,,0.9603965546990613
cluster_29_UP - condition/ph-lung,8,ENSG00000081386|ZNF510 ENSG00000083817|ZNF416 ENSG00000090861|AARS1 ENSG00000121417|ZNF211 ENSG00000137601|NEK1 ENSG00000139697|SBNO1 ENSG00000203326|ZNF525 ENSG00000237440|ZNF737,3,-,-,,0.12181711578291395
cluster_30_UP - condition/healthy,4,ENSG00000214401|KANSL1-AS1 ENSG00000238083|LRRC37A2 ENSG00000246228|CASC8 ENSG00000285668|ENSG00000285668,3,-,-,,0.8977047620196991
cluster_30_UP - condition/pah,4,ENSG00000214401|KANSL1-AS1 ENSG00000238083|LRRC37A2 ENSG00000246228|CASC8 ENSG00000285668|ENSG00000285668,3,-,-,,0.3425457407644444
cluster_30_UP - condition/ph-lung,4,ENSG00000214401|KANSL1-AS1 ENSG00000238083|LRRC37A2 ENSG00000246228|CASC8 ENSG00000285668|ENSG00000285668,3,-,-,,0.5788689901239834
cluster_31_UP - condition/healthy,45,ENSG00000008382|MPND ENSG00000053371|AKR7A2 ENSG00000079462|PAFAH1B3 ENSG00000095380|NANS ENSG00000099203|TMED1 ENSG00000100448|CTSG ENSG00000101940|WDR13 ENSG00000103152|MPG ENSG00000103671|TRIP4 ENSG00000104976|SNAPC2 ENSG00000108010|GLRX3 ENSG00000108950|FAM20A ENSG00000111843|TMEM14C ENSG00000131966|ACTR10 ENSG00000132004|FBXW9 ENSG00000137074|APTX ENSG00000137767|SQOR ENSG00000138085|ATRAID ENSG00000140365|COMMD4 ENSG00000142552|RCN3 ENSG00000155115|GTF3C6 ENSG00000155957|TMBIM4 ENSG00000158019|BABAM2 ENSG00000160087|UBE2J2 ENSG00000160446|ZDHHC12 ENSG00000167065|DUSP18 ENSG00000168701|TMEM208 ENSG00000168894|RNF181 ENSG00000176108|CHMP6 ENSG00000177370|TIMM22 ENSG00000178952|TUFM ENSG00000179922|ZNF784 ENSG00000180992|MRPL14 ENSG00000185808|PIGP ENSG00000186577|SMIM29 ENSG00000214941|ZSWIM7 ENSG00000236753|MKLN1-AS ENSG00000239697|TNFSF12 ENSG00000241112|RPL29P14 ENSG00000243449|C4orf48 ENSG00000248712|CCDC153 ENSG00000250318|ENSG00000250318 ENSG00000272086|GOLPH3-DT ENSG00000286873|ENSG00000286873 ENSG00000289390|ENSG00000289390,3,-,-,,0.9231125078167544
cluster_31_UP - condition/pah,45,ENSG00000008382|MPND ENSG00000053371|AKR7A2 ENSG00000079462|PAFAH1B3 ENSG00000095380|NANS ENSG00000099203|TMED1 ENSG00000100448|CTSG ENSG00000101940|WDR13 ENSG00000103152|MPG ENSG00000103671|TRIP4 ENSG00000104976|SNAPC2 ENSG00000108010|GLRX3 ENSG00000108950|FAM20A ENSG00000111843|TMEM14C ENSG00000131966|ACTR10 ENSG00000132004|FBXW9 ENSG00000137074|APTX ENSG00000137767|SQOR ENSG00000138085|ATRAID ENSG00000140365|COMMD4 ENSG00000142552|RCN3 ENSG00000155115|GTF3C6 ENSG00000155957|TMBIM4 ENSG00000158019|BABAM2 ENSG00000160087|UBE2J2 ENSG00000160446|ZDHHC12 ENSG00000167065|DUSP18 ENSG00000168701|TMEM208 ENSG00000168894|RNF181 ENSG00000176108|CHMP6 ENSG00000177370|TIMM22 ENSG00000178952|TUFM ENSG00000179922|ZNF784 ENSG00000180992|MRPL14 ENSG00000185808|PIGP ENSG00000186577|SMIM29 ENSG00000214941|ZSWIM7 ENSG00000236753|MKLN1-AS ENSG00000239697|TNFSF12 ENSG00000241112|RPL29P14 ENSG00000243449|C4orf48 ENSG00000248712|CCDC153 ENSG00000250318|ENSG00000250318 ENSG00000272086|GOLPH3-DT ENSG00000286873|ENSG00000286873 ENSG00000289390|ENSG00000289390,3,-,-,,0.6650285081196488
